,year,to_country_id,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf,composers,lyricists,lyrics,youtube_url,round,country,lgbtqia+,start_year,last_year
0,1956,ch,Switzerland,Lys Assia,refrain,2.0,,2.0,,2.0,,,,,,,,Georg Benz Stahl,,"(Refrain d'amour...)  Refrain, couleur du ciel, parfum de mes vingt ans Jardin plein de soleil où je courais enfant Partout je t'ai cherché, mon amoureux lointain Guettant par les sentiers où tu prenais ma main  Les jours s'en sont allés et nous avons grandi L'amour nous a blessés, le temps nous a guéris Mais seule et sans printemps Je cours en vain les bois, les champs Dis, souviens-toi nos amours d'autrefois?  Les années passent à tire-d'aile Et sur les toits de mon ennui coule la pluie Où sont parties les caravelles, volant mon cœur Portant mes rêves vers ton oubli? J'aurais voulu que tu reviennes comme jadis Porter des fleurs à ma persienne Et ta jeunesse en mon logis  Refrain, couleur de pluie, regret de mes vingt ans Chagrin, mélancolie de n'être plus enfant Mais seule et loin de toi, par les chemins où tu n'es pas Je vais, pleurant mes amours de vingt ans",https://youtube.com/watch?v=IyqIPvOkiRk,final,Switzerland,0.0,1956,2025
1,1956,nl,Netherlands,Jetty Paerl,de vogels van holland,2.0,,1.0,,2.0,,,,,,,,Cor Lemaire,Annie M. G. Schmidt,"De vogels van Holland zijn zo muzikaal Ze leren in hun prille jeugd al tierelieren De merel, de lijster en de nachtegaal Om zo de lent' in Holland goed te kunnen vieren  't Is geen wonder, want nergens zijn de plassen zo blauw Als in Holland, mijnheer Als in Holland, mevrouw 't Is geen wonder, want nergens is het gras zo vol dauw Zijn de meisjes zo lief, zijn de meisjes zo trouw En daarom zijn de vogels hier allemaal Zo muzikaal Zo muzikaal Zo muzikaal  De hele wereld door heb ik vogels horen zingen In het zuiden, in het westen, in het noorden In vele verre landen heb ik vogels horen zingen Zij zingen kleine liedjes zonder woorden  De Franse vogels zingen tudeludelu Japanse vogels zingen tudeludelu Chinese vogels zingen tudeludelu Maar de vogels zingen nergens zo gelukkig en blij Als in Holland in het voorjaar in de wei  De vogels van Holland zijn zo muzikaal Ze leren in hun prille jeugd al tierelieren De merel, de lijster en de nachtegaal Om zo de lent' in Holland goed te kunnen vieren  't Is geen wonder, want nergens zijn de plassen zo blauw Als in Holland, mijnheer Als in Holland, mevrouw 't Is geen wonder want nergens is het gras zo vol dauw Zijn de meisjes zo lief, zijn de meisjes zo trouw En daarom zijn de vogels hier allemaal Zo muzikaal Zo muzikaal Zo muzikaal",https://youtube.com/watch?v=u45UQVGRVPA,final,Netherlands,0.0,1956,2025
2,1956,be,Belgium,Fud Leclerc,messieurs les noyés de la seine,2.0,,3.0,,2.0,,,,,,,,Jacques Say;Jean Miret,Robert Montal,"Messieurs les noyés de la Seine Ouvrez-moi les portes de l'eau Je suis fatigué d'user mes semaines Sur le pavé noir de Puteaux  Messieurs les noyés de la Seine Ouvrez-moi les portes de l'eau J'ai tant voyagé sous son ciel de laine Que le vent m'a brûlé la peau  Je suis depuis toujours marié à la misère Je n'ai connu l'amour que sur un lit de pierre Le soleil pour les riches, la lune pour les gueux Pourquoi, si tout le monde triche, jouer encore le jeu?  Messieurs les noyés de la Seine Ouvrez-moi les portes de l'eau Je suis fatigué de n'avoir pour ciel Que les ponts rouillés de Puteaux  Messieurs les noyés de la Seine J'ai tant regardé les bateaux Que d'Aubervilliers jusqu'à Bourg-la-Reine Je porte Paris sur mon dos  La fille que j'aimais ne m'a jamais aimé Les copains que j'avais m'ont tous abandonné Je fais le tour du monde pour trouver le printemps Mais comme la terre est ronde, ça peut durer longtemps  Messieurs les noyés de la Seine Ouvrez-moi les portes de l'eau Je suis fatigué de voir la dégaine Des enfants trahis de Puteaux  Messieurs les noyés de la Seine Paris me doit bien un berceau Je m'endormirai sans amour ni haine Entre ses bras de sable et d'eau",https://youtube.com/watch?v=U9O3sqlyra0,final,Belgium,0.0,1956,2025
3,1956,de,Germany,Walter Andreas Schwarz,im wartesaal zum großen glück,2.0,,4.0,,2.0,,,,,,,,Walter Andreas Schwarz,,"Es gibt einen Hafen, da fährt kaum ein Schiff Und wenn eines fährt, so in unbestimmte Fernen Und es kommt, wenn es ankommt, von sehr weit schon her Und einer steigt aus und der kommt übers Meer Mit gläserner Fracht von den Sternen  Und man baute am Kai der Vergangenheit Einen Saal mit Blick auf das Meer Und mit Wänden aus Träumen gegen die Wirklichkeit Denn die liebte man nicht sehr  Im Wartesaal zum großen Glück Da warten viele, viele Leute Die warten seit gestern auf das Glück von morgen Und leben mit Wünschen von übermorgen Und vergessen, es ist ja noch heute Ach... die armen, armen Leute  Und sie blickten aufs Meer und sie sahen auch das Schiff Gerade als es abfuhr in unbestimmte Fernen Und sie jagten auf Träumen hinter ihm her Und sahen ihn nicht, wie er kam übers Meer Mit gläserner Fracht von den Sternen  Und er ging am Kai der Vergangenheit vorbei Und die im Saal, die liess er einfach stehn Ging grade aus in die Wirklichkeit Und da hat man ihn lächeln sehn  Im Wartesaal zum großen Glück Da warten viele, viele Leute Die warten seit gestern auf das Glück von morgen Und leben mit Wünschen von übermorgen Und vergessen, es ist ja noch heute Ha... die armen, armen Leute  Und es fuhren am Morgen die Fischer hinaus Und es glühte der Himmel bis in unbestimmte Fernen Und da kam er gegangen und ihre Netze waren leer Doch da holte er für sie die Sonne aus dem Meer Und trug sie empor zu den Sternen  Und sie glänzte weit durch die Wirklichkeit Und es tanzten die Boote im Licht Nur im Saal am Kai der Vergangenheit Da sah man die Sonne nicht  Im Wartesaal zum großen Glück Da warten viele, viele Leute Die warten seit gestern auf das Glück von morgen Und leben mit Wünschen von übermorgen Und vergessen, es ist ja noch heute Tja... die armen Leute",https://youtube.com/watch?v=BDNARIDnmTc,final,Germany,0.0,1956,2025
4,1956,fr,France,Mathé Altéry,le temps perdu,2.0,,5.0,,2.0,,,,,,,,André Lodge,Rachèle Thoreau,"Chante, carillon Le chant du temps perdu Chante ta chanson à mon cœur éperdu Moi, je pleure celui que j'aime  Berce dans le soir Mon rêve et mes sanglots Verse en moi l'espoir de le revoir bientôt Hâte-toi, car j'attends toujours  Vienne le temps du bonheur Le temps d'amour qui seul peut calmer mon cœur  Coule le ruisseau Vers la mer qui t'attend Roule dans tes eaux toute la vie du printemps Moi, toujours j'attends ton retour  Les heures s'enfuient lentement dans la nuit Chacune d'elles monotone sonne Et j'attends le jour, imaginant toujours Que tu me rendras ton amour un jour  Chante, carillon Chante pour mon bonheur Chante ta chanson, si légère à mon cœur Chante aussi pour celui que j'aime  Berce dans le soir Nos étreintes d'amour Verse en moi l'espoir de le garder toujours Chante, j'oublie le temps perdu  Sonne, mais sans te presser L'heure d'amour qui nous retient enlacés  Coule le ruisseau Vers la mer qui t'attend Roule dans tes eaux toute la vie du printemps Moi, toujours j'attends ton retour",https://youtube.com/watch?v=dm1L0XyikKI,final,France,0.0,1956,2025
5,1956,lu,Luxembourg,Michèle Arnaud,ne crois pas,2.0,,13.0,,2.0,,,,,,,,Christian Guitreau,,"Si on te dit qu't'a une belle gueule Y a pas de quoi t'en vanter Et au lieu d'faire les belles gueules Tu f'rais mieux d'en profiter  Ne crois pas que tout' ta vie On t'aimera pour tes beaux yeux Car si ta gueule fait envie C'est qu't'es jeune et rien de mieux  Ne crois pas, ne crois pas Que tu s'ras toujours beau gosse Ne crois pas, ne crois pas Que ta jeunesse durera  Tu seras comme tout le monde Avec le teint décati Le bidon en mappemonde Et tout's les dents desserties  Quand t'auras le crâne bien lisse Le geste mal assuré Et le regard en coulisse T'iras de faire réparer  Ne crois pas, ne crois pas Que tu s'ras toujours beau gosse Ne crois pas, ne crois pas Que ta jeunesse durera  Tu t'crois malin A vouloir jouer les insondables Les intouchables Du début jusqu'à la Saint Glin-Glin  C'est pas sérieux Les Hermès, Adonis, les Hercules Qui déambulent Sans songer qu'un jour ils seront vieux  Si on te dit qu't'a une belle gueule Y a pas de quoi t'en vanter Et au lieu d'faire les belles gueules Tu f'rais mieux d'en profiter  Ne crois pas que tout' ta vie On t'aimera pour tes beaux yeux Car si ta gueule fait envie C'est qu't'es jeune et rien de mieux  Ne crois pas, ne crois pas Que tu s'ras toujours beau gosse Ne crois pas, ne crois pas Que ta jeunesse durera  Ne crois pas... ne crois pas... Ne crois pas que ta jeunesse durera",https://youtube.com/watch?v=Pv7GJkqtNuc,final,Luxembourg,0.0,1956,2025
6,1956,it,Italy,Franca Raimondi,aprite le finestre,2.0,,7.0,,2.0,,,,,,,,Virgilio Panzuti,Pinchi,"La prima rosa rossa è già sbocciata E nascon timide le viole mammole Ormai, la prima rondine è tornata: Nel cielo limpido comincia a volteggiar Il tempo bello viene ad annunciar  Aprite le finestre al nuovo sole È primavera, è primavera Lasciate entrare un poco d'aria pura Con il profumo dei giardini e i prati in fior  Aprite le finestre ai nuovi sogni Bambine belle, innamorate È forse il più bel sogno che sognate Sarà domani la felicità:  Nel cielo fra le nuvole d'argento La luna ha già fissato appuntamento Aprite le finestre al nuovo sole È primavera, festa dell'amor  La la la la la la la la la la la Aprite le finestre al nuovo sol  Sul davanzale un piccolo usignolo Dall'ali tenere, le piume morbide Ha già spiccato il timido suo volo E contro i vetri ha cominciato a picchiettar Il suo più bel messaggio vuol portar:  È primavera, è primavera  Aprite le finestre ai nuovi sogni Alle speranze, all'illusione Lasciate entrare l'ultima canzone Che dolcemente scenderà nel cuor  Nel cielo fra le nuvole d'argento La luna ha già fissato appuntamento Aprite le finestre al nuovo sole È primavera, festa dell'amor  La la la la la la la la la la la Aprite le finestra al primo amor",https://youtube.com/watch?v=HHA1mC2RkKc,final,Italy,0.0,1956,2025
7,1956,nl,Netherlands,Corry Brokken,voorgoed voorbij,2.0,,8.0,,2.0,,,,,,,,Jelle de Vries,,"Voorgoed voorbij Nu zijn we nooit meer samen M'n lieveling Wat heb ik jou gedaan?  Voorgoed voorbij Gesloten zijn je ramen Maar net als toen Zie ik viooltjes staan  De hele wereld geurt De lentebloesem kleurt Ach, waarom is er ieder jaar een nieuwe mei? Dat is voor mij voorgoed voorbij De lente van mijn leven Dat lachend getij 't Is alles voorbij  Voor jou was het maar spel Ik weet heel goed Je hebt het niet anders bedoeld Maar ik, ik meende 't wel 'k Heb het maar al te diep gevoeld  De hele wereld geurt De lentebloesem kleurt Ach, waarom is er ieder jaar een nieuwe mei? Dat is voor mij voorgoed voorbij De lente van mijn leven Dat lachend getij 't Is alles voorbij",https://youtube.com/watch?v=6OjNzLaifFM,final,Netherlands,0.0,1956,2025
8,1956,be,Belgium,Mony Marc,le plus beau jour de ma vie,2.0,,10.0,,2.0,,,,,,,,Claude Alix,David Bee,"Les cloches sonnent Tout carillonne Le plus beau jour de ma vie Aujourd'hui je me marie Ding dong, ding dong  Si maman pleure C'est bientôt l'heure Et papa m'offre le bras Nous partons à petits pas Ding dong, ding dong  Les tout petits enfants me suivent gravement Portant ma robe sous mon voile blanc Voici mon Prince Charmant, il sourit tendrement Je m'avance vers lui le cœur battant  Minute brève comme en un rêve Nos deux êtres pleins d'amour Vont être unis pour toujours Ding dong, ding dong  Quel instant émouvant Je suis tout étourdie Puis ta main sur ma main Simplement j'ai dit 'oui'  Orgue en sourdine, tout s'illumine Le portail est large ouvert Nous sortons sous le ciel clair Ding dong, ding dong  On nous admire et j'entends dire ""Regardez, elle est jolie"" ""Comme ils sont bien assortis"" Ding dong, ding dong  Un doux bonheur m'étreint tandis que sur ma main Tes yeux caressent mon anneau d'or fin L'espace d'un instant, je refais le serment De vivre pour t'aimer fidèlement  Les cloches sonnent Tout carillonne Pour que jamais je n'oublie Le plus beau jour de ma vie Ding dong, ding dong",https://youtube.com/watch?v=dL139DezFwo,final,Belgium,0.0,1956,2025
9,1956,de,Germany,Freddy Quinn,so geht das jede nacht,2.0,,11.0,,2.0,,,,,,,,Lothar Olias,Peter Mösser,"Am Sonntag mit Jimmy, am Montag mit Jack Am Dienstag, da gehst du mit Johnny weg  So geht das jede Nacht (So geht das jede Nacht) So geht das jede Nacht (So geht das jede Nacht) Das hätt ich nie, nie, nie von dir gedacht  Ich schenk dir Blumen und fahr dich ins Büro Führ deine Mutter jeden Sonntag in den Zoo Doch dich bringt am Mittwoch der Billy nach Haus Am Donnerstag gehst du mit Tommy aus  So geht das jede Nacht (So geht das jede Nacht) So geht das jede Nacht (So geht das jede Nacht) Das hätt ich nie, nie, nie von dir gedacht  Ich hab dich damals als Baby schon geliebt Jetzt hab ich Boogie und den Cha Cha Cha geübt Doch du tanzt am Freitag, am Freitag mit Ben Samstag mit einem, den ich nicht mal kenn  So geht das jede Nacht (So geht das jede Nacht) So geht das jede Nacht (So geht das jede Nacht) Das hätt ich nie, nie, nie von dir gedacht  Doch wenn du gedacht hast, ich sitze zuhaus Ich geh jeden Tag mit 'ner andren aus  So geht das jede Nacht (So geht das jede Nacht) So geht das jede Nacht (So geht das jede Nacht) Das hätt'st du nie, nie, nie von mir gedacht",https://youtube.com/watch?v=DJFGwPVKfyk,final,Germany,0.0,1956,2025
