,relationship,from_country,to_country,contest_year,total_points,point_ratio,avg_point_ratio
0,Austria-Netherlands,Austria,Netherlands,1957,6,0.50000000000000000000,0.22685185185185185185
1,Austria-France,Austria,France,1957,0,0E-20,0.22916666666666666667
2,Austria-Denmark,Austria,Denmark,1957,0,0E-20,0.17841880341880341880
3,Austria-Luxembourg,Austria,Luxembourg,1957,3,0.25000000000000000000,0.19354838709677419355
4,Austria-Germany,Austria,Germany,1957,0,0E-20,0.21604938271604938272
5,Austria-Italy,Austria,Italy,1957,0,0E-20,0.24305555555555555556
6,Austria-United Kingdom,Austria,United Kingdom,1957,1,0.08333333333333333333,0.30632716049382716049
7,Austria-Belgium,Austria,Belgium,1957,0,0E-20,0.11413043478260869565
8,Austria-Switzerland,Austria,Switzerland,1957,0,0E-20,0.27651515151515151515
9,Austria-Austria,Austria,Austria,1957,0,0E-20,0E-20
10,Belgium-Netherlands,Belgium,Netherlands,1957,5,0.41666666666666666667,0.27040816326530612245
11,Belgium-France,Belgium,France,1957,2,0.16666666666666666667,0.23087431693989071038
12,Belgium-Denmark,Belgium,Denmark,1957,0,0E-20,0.17261904761904761905
13,Belgium-Luxembourg,Belgium,Luxembourg,1957,0,0E-20,0.17592592592592592593
14,Belgium-Germany,Belgium,Germany,1957,1,0.08333333333333333333,0.22244623655913978495
15,Belgium-Italy,Belgium,Italy,1957,1,0.08333333333333333333,0.22916666666666666667
16,Belgium-United Kingdom,Belgium,United Kingdom,1957,1,0.08333333333333333333,0.25604838709677419355
17,Belgium-Belgium,Belgium,Belgium,1957,0,0E-20,0E-20
18,Belgium-Switzerland,Belgium,Switzerland,1957,0,0E-20,0.22278911564625850340
19,Belgium-Austria,Belgium,Austria,1957,0,0E-20,0.20652173913043478261
20,Denmark-Netherlands,Denmark,Netherlands,1957,3,0.25000000000000000000,0.18355855855855855856
21,Denmark-France,Denmark,France,1957,2,0.16666666666666666667,0.15250000000000000000
22,Denmark-Denmark,Denmark,Denmark,1957,0,0E-20,0E-20
23,Denmark-Luxembourg,Denmark,Luxembourg,1957,0,0E-20,0.12000000000000000000
24,Denmark-Germany,Denmark,Germany,1957,0,0E-20,0.28921568627450980392
25,Denmark-Italy,Denmark,Italy,1957,1,0.08333333333333333333,0.08796296296296296296
26,Denmark-United Kingdom,Denmark,United Kingdom,1957,0,0E-20,0.26083333333333333333
27,Denmark-Belgium,Denmark,Belgium,1957,2,0.16666666666666666667,0.16132478632478632479
28,Denmark-Switzerland,Denmark,Switzerland,1957,2,0.16666666666666666667,0.23423423423423423423
29,Denmark-Austria,Denmark,Austria,1957,0,0E-20,0.17841880341880341880
30,France-Netherlands,France,Netherlands,1957,4,0.33333333333333333333,0.23833333333333333333
31,France-France,France,France,1957,0,0E-20,0E-20
32,France-Denmark,France,Denmark,1957,0,0E-20,0.20833333333333333333
33,France-Luxembourg,France,Luxembourg,1957,0,0E-20,0.21813725490196078431
34,France-Germany,France,Germany,1957,6,0.50000000000000000000,0.19841269841269841270
35,France-Italy,France,Italy,1957,0,0E-20,0.30344202898550724638
36,France-United Kingdom,France,United Kingdom,1957,0,0E-20,0.26322751322751322751
37,France-Belgium,France,Belgium,1957,0,0E-20,0.22222222222222222222
38,France-Switzerland,France,Switzerland,1957,0,0E-20,0.18027210884353741497
39,France-Austria,France,Austria,1957,0,0E-20,0.14893617021276595745
40,Germany-Netherlands,Germany,Netherlands,1957,1,0.08333333333333333333,0.21813725490196078431
41,Germany-France,Germany,France,1957,6,0.50000000000000000000,0.22222222222222222222
42,Germany-Denmark,Germany,Denmark,1957,0,0E-20,0.21780303030303030303
43,Germany-Luxembourg,Germany,Luxembourg,1957,0,0E-20,0.18518518518518518519
44,Germany-Germany,Germany,Germany,1957,0,0E-20,0E-20
45,Germany-Italy,Germany,Italy,1957,0,0E-20,0.21453900709219858156
46,Germany-United Kingdom,Germany,United Kingdom,1957,0,0E-20,0.25065104166666666667
47,Germany-Belgium,Germany,Belgium,1957,2,0.16666666666666666667,0.17067307692307692308
48,Germany-Switzerland,Germany,Switzerland,1957,1,0.08333333333333333333,0.20750000000000000000
49,Germany-Austria,Germany,Austria,1957,0,0E-20,0.15602836879432624113
50,Italy-Netherlands,Italy,Netherlands,1957,1,0.08333333333333333333,0.17784552845528455285
51,Italy-France,Italy,France,1957,0,0E-20,0.24818840579710144928
52,Italy-Denmark,Italy,Denmark,1957,3,0.25000000000000000000,0.15053763440860215054
53,Italy-Luxembourg,Italy,Luxembourg,1957,4,0.33333333333333333333,0.19949494949494949495
54,Italy-Germany,Italy,Germany,1957,1,0.08333333333333333333,0.17819148936170212766
55,Italy-Italy,Italy,Italy,1957,0,0E-20,0E-20
56,Italy-United Kingdom,Italy,United Kingdom,1957,0,0E-20,0.24094202898550724638
57,Italy-Belgium,Italy,Belgium,1957,0,0E-20,0.11890243902439024390
58,Italy-Switzerland,Italy,Switzerland,1957,1,0.08333333333333333333,0.21239837398373983740
59,Italy-Austria,Italy,Austria,1957,0,0E-20,0.17567567567567567568
60,Luxembourg-Netherlands,Luxembourg,Netherlands,1957,3,0.25000000000000000000,0.20098039215686274510
61,Luxembourg-France,Luxembourg,France,1957,4,0.33333333333333333333,0.29656862745098039216
62,Luxembourg-Denmark,Luxembourg,Denmark,1957,0,0E-20,0.12333333333333333333
63,Luxembourg-Luxembourg,Luxembourg,Luxembourg,1957,0,0E-20,0E-20
64,Luxembourg-Germany,Luxembourg,Germany,1957,0,0E-20,0.20138888888888888889
65,Luxembourg-Italy,Luxembourg,Italy,1957,1,0.08333333333333333333,0.20707070707070707071
66,Luxembourg-United Kingdom,Luxembourg,United Kingdom,1957,1,0.08333333333333333333,0.41428571428571428571
67,Luxembourg-Belgium,Luxembourg,Belgium,1957,0,0E-20,0.15046296296296296296
68,Luxembourg-Switzerland,Luxembourg,Switzerland,1957,1,0.08333333333333333333,0.24537037037037037037
69,Luxembourg-Austria,Luxembourg,Austria,1957,0,0E-20,0.07258064516129032258
70,Netherlands-Netherlands,Netherlands,Netherlands,1957,0,0E-20,0E-20
71,Netherlands-France,Netherlands,France,1957,1,0.08333333333333333333,0.23750000000000000000
72,Netherlands-Denmark,Netherlands,Denmark,1957,5,0.41666666666666666667,0.26666666666666666667
73,Netherlands-Luxembourg,Netherlands,Luxembourg,1957,0,0E-20,0.19852941176470588235
74,Netherlands-Germany,Netherlands,Germany,1957,0,0E-20,0.21174863387978142077
75,Netherlands-Italy,Netherlands,Italy,1957,2,0.16666666666666666667,0.14814814814814814815
76,Netherlands-United Kingdom,Netherlands,United Kingdom,1957,1,0.08333333333333333333,0.21653005464480874317
77,Netherlands-Belgium,Netherlands,Belgium,1957,0,0E-20,0.29591836734693877551
78,Netherlands-Switzerland,Netherlands,Switzerland,1957,0,0E-20,0.26388888888888888889
79,Netherlands-Austria,Netherlands,Austria,1957,1,0.08333333333333333333,0.13541666666666666667
80,Switzerland-Netherlands,Switzerland,Netherlands,1957,7,0.58333333333333333333,0.21938775510204081633
81,Switzerland-France,Switzerland,France,1957,0,0E-20,0.26319444444444444444
82,Switzerland-Denmark,Switzerland,Denmark,1957,0,0E-20,0.07825203252032520325
83,Switzerland-Luxembourg,Switzerland,Luxembourg,1957,0,0E-20,0.12268518518518518519
84,Switzerland-Germany,Switzerland,Germany,1957,0,0E-20,0.23565573770491803279
85,Switzerland-Italy,Switzerland,Italy,1957,0,0E-20,0.34574468085106382979
86,Switzerland-United Kingdom,Switzerland,United Kingdom,1957,2,0.16666666666666666667,0.28961748633879781421
87,Switzerland-Belgium,Switzerland,Belgium,1957,1,0.08333333333333333333,0.11916666666666666667
88,Switzerland-Switzerland,Switzerland,Switzerland,1957,0,0E-20,0E-20
89,Switzerland-Austria,Switzerland,Austria,1957,0,0E-20,0.13981481481481481481
90,United Kingdom-Netherlands,United Kingdom,Netherlands,1957,1,0.08333333333333333333,0.17483660130718954248
91,United Kingdom-France,United Kingdom,France,1957,2,0.16666666666666666667,0.17261904761904761905
92,United Kingdom-Denmark,United Kingdom,Denmark,1957,2,0.16666666666666666667,0.24903100775193798450
93,United Kingdom-Luxembourg,United Kingdom,Luxembourg,1957,1,0.08333333333333333333,0.20714285714285714286
94,United Kingdom-Germany,United Kingdom,Germany,1957,0,0E-20,0.22070312500000000000
95,United Kingdom-Italy,United Kingdom,Italy,1957,2,0.16666666666666666667,0.13315217391304347826
96,United Kingdom-United Kingdom,United Kingdom,United Kingdom,1957,0,0E-20,0E-20
97,United Kingdom-Belgium,United Kingdom,Belgium,1957,0,0E-20,0.19551282051282051282
98,United Kingdom-Switzerland,United Kingdom,Switzerland,1957,0,0E-20,0.27916666666666666667
99,United Kingdom-Austria,United Kingdom,Austria,1957,2,0.16666666666666666667,0.21010638297872340426
100,Austria-France,Austria,France,1958,7,0.58333333333333333333,0.22916666666666666667
101,Austria-Switzerland,Austria,Switzerland,1958,0,0E-20,0.27651515151515151515
102,Austria-Italy,Austria,Italy,1958,1,0.08333333333333333333,0.24305555555555555556
103,Austria-Sweden,Austria,Sweden,1958,1,0.08333333333333333333,0.27804487179487179487
104,Austria-Belgium,Austria,Belgium,1958,0,0E-20,0.11413043478260869565
105,Austria-Austria,Austria,Austria,1958,0,0E-20,0E-20
106,Austria-Germany,Austria,Germany,1958,1,0.08333333333333333333,0.21604938271604938272
107,Austria-Denmark,Austria,Denmark,1958,0,0E-20,0.17841880341880341880
108,Austria-Netherlands,Austria,Netherlands,1958,0,0E-20,0.22685185185185185185
109,Austria-Luxembourg,Austria,Luxembourg,1958,0,0E-20,0.19354838709677419355
110,Belgium-France,Belgium,France,1958,1,0.08333333333333333333,0.23087431693989071038
111,Belgium-Switzerland,Belgium,Switzerland,1958,2,0.16666666666666666667,0.22278911564625850340
112,Belgium-Italy,Belgium,Italy,1958,4,0.33333333333333333333,0.22916666666666666667
113,Belgium-Sweden,Belgium,Sweden,1958,1,0.08333333333333333333,0.25574712643678160919
114,Belgium-Belgium,Belgium,Belgium,1958,0,0E-20,0E-20
115,Belgium-Austria,Belgium,Austria,1958,1,0.08333333333333333333,0.20652173913043478261
116,Belgium-Germany,Belgium,Germany,1958,1,0.08333333333333333333,0.22244623655913978495
117,Belgium-Denmark,Belgium,Denmark,1958,0,0E-20,0.17261904761904761905
118,Belgium-Netherlands,Belgium,Netherlands,1958,0,0E-20,0.27040816326530612245
119,Belgium-Luxembourg,Belgium,Luxembourg,1958,0,0E-20,0.17592592592592592593
120,Denmark-France,Denmark,France,1958,9,0.75000000000000000000,0.15250000000000000000
121,Denmark-Switzerland,Denmark,Switzerland,1958,0,0E-20,0.23423423423423423423
122,Denmark-Italy,Denmark,Italy,1958,0,0E-20,0.08796296296296296296
123,Denmark-Sweden,Denmark,Sweden,1958,0,0E-20,0.58506944444444444444
124,Denmark-Belgium,Denmark,Belgium,1958,1,0.08333333333333333333,0.16132478632478632479
125,Denmark-Austria,Denmark,Austria,1958,0,0E-20,0.17841880341880341880
126,Denmark-Germany,Denmark,Germany,1958,0,0E-20,0.28921568627450980392
127,Denmark-Denmark,Denmark,Denmark,1958,0,0E-20,0E-20
128,Denmark-Netherlands,Denmark,Netherlands,1958,0,0E-20,0.18355855855855855856
129,Denmark-Luxembourg,Denmark,Luxembourg,1958,0,0E-20,0.12000000000000000000
130,France-France,France,France,1958,0,0E-20,0E-20
131,France-Switzerland,France,Switzerland,1958,3,0.25000000000000000000,0.18027210884353741497
132,France-Italy,France,Italy,1958,1,0.08333333333333333333,0.30344202898550724638
133,France-Sweden,France,Sweden,1958,0,0E-20,0.20056497175141242938
134,France-Belgium,France,Belgium,1958,0,0E-20,0.22222222222222222222
135,France-Austria,France,Austria,1958,3,0.25000000000000000000,0.14893617021276595745
136,France-Germany,France,Germany,1958,2,0.16666666666666666667,0.19841269841269841270
137,France-Denmark,France,Denmark,1958,1,0.08333333333333333333,0.20833333333333333333
138,France-Netherlands,France,Netherlands,1958,0,0E-20,0.23833333333333333333
139,France-Luxembourg,France,Luxembourg,1958,0,0E-20,0.21813725490196078431
140,Germany-France,Germany,France,1958,1,0.08333333333333333333,0.22222222222222222222
141,Germany-Switzerland,Germany,Switzerland,1958,0,0E-20,0.20750000000000000000
