,year_country,year,final_total_points,semi_final,semi_draw_position,final_draw_position,country,artist_name,song_name,language,style,direct_qualifier_10,gender,main_singers,key,loudness_db,beats_per_min,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,backing_dancers,backing_singers,backing_instruments,instrument_10,qualified_10,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,semi_place,semi_televote_points,semi_jury_points,semi_total_points,favourite_10,host_10,lgbtqia+,normal_cluster,point_ratio
0,2023_Norway,2023,268.0,1.0,1.0,20.0,Norway,Alessandra,Queen of Kings,English,Pop,0.0,Female,1,E Minor,10,110.0,36.0,64.0,23.0,58.0,0.0,10.0,3.0,4,0,0,0,1.0,216.0,52.0,36.0,11.0,5.0,6.0,102.0,,102.0,0,0,1.0,4.0,0.19193803708729081863
1,2023_Malta,2023,,1.0,2.0,,Malta,The Busker,Dance (Our Own Party),English,Pop,,Male,1,F Minor,6,103.0,78.0,70.0,82.0,2.0,0.0,18.0,4.0,0,0,2,0,0.0,,,,,,15.0,3.0,,3.0,0,0,,0.0,0.21326106000876040298
2,2023_Serbia,2023,30.0,1.0,3.0,5.0,Serbia,Luke Black,Samo mi se spava,"Serbian, English",Pop,0.0,Male,1,A Major,10,103.0,70.0,56.0,11.0,4.0,2.0,32.0,5.0,4,0,0,0,1.0,16.0,14.0,4.0,6.0,24.0,10.0,37.0,,37.0,0,0,0.0,5.0,0.20875677506775067751
3,2023_Latvia,2023,,1.0,4.0,,Latvia,Sudden Lights,Aijā,English,Rock,,Male,1,A Minor,8,160.0,55.0,56.0,40.0,5.0,0.0,8.0,7.0,0,0,3,0,0.0,,,,,,11.0,34.0,,34.0,0,0,,0.0,0.22116324535679374389
4,2023_Portugal,2023,59.0,1.0,5.0,2.0,Portugal,Mimicat,Ai Coração,Portuguese,Pop,0.0,Female,1,Fs Minor,8,145.0,63.0,66.0,77.0,31.0,0.0,16.0,5.0,4,0,0,0,1.0,16.0,43.0,3.0,9.0,23.0,9.0,74.0,,74.0,0,0,0.0,5.0,0.14422779325286289075
5,2023_Ireland,2023,,1.0,6.0,,Ireland,Wild Youth,We Are One,English,Rock,,Male,1,D Major,7,112.0,66.0,47.0,12.0,6.0,0.0,9.0,3.0,0,0,3,0,0.0,,,,,,12.0,10.0,,10.0,0,0,,0.0,0.26095060577819198509
6,2023_Croatia,2023,123.0,1.0,7.0,25.0,Croatia,Let 3,Mama ŠČ!,Croatian,Pop,0.0,Male,1,C Major,7,135.0,78.0,60.0,63.0,16.0,0.0,21.0,9.0,0,4,0,0,0.0,112.0,11.0,20.0,2.0,13.0,8.0,76.0,,76.0,0,0,0.0,0.0,0.16737770193401592719
7,2023_Switzerland,2023,92.0,1.0,8.0,3.0,Switzerland,Remo Forrer,Watergun,English,Ballad,0.0,Male,1,Ab Minor,5,130.0,87.0,68.0,39.0,48.0,0.0,18.0,7.0,4,0,0,0,1.0,31.0,61.0,10.0,15.0,20.0,7.0,97.0,,97.0,0,0,0.0,0.0,0.19842683288809735827
8,2023_Israel,2023,362.0,1.0,9.0,23.0,Israel,Noa Kirel,Unicorn,English,Pop,0.0,Female,1,Fs Minor,5,130.0,87.0,68.0,28.0,2.0,0.0,32.0,10.0,5,0,0,0,1.0,185.0,177.0,30.0,25.0,3.0,3.0,127.0,,127.0,0,0,0.0,0.0,0.23580276705276705277
9,2023_Moldova,2023,96.0,1.0,10.0,18.0,Moldova,Pasha Parfeni,Soarele și Luna,Romanian,Traditional,0.0,Male,1,Ab Major,5,125.0,86.0,62.0,34.0,36.0,0.0,18.0,14.0,0,2,3,0,1.0,76.0,20.0,17.0,4.0,18.0,5.0,109.0,,109.0,0,0,0.0,4.0,0.18179657794676806084
10,2023_Sweden,2023,583.0,1.0,11.0,9.0,Sweden,Loreen,Tattoo,English,Pop,0.0,Female,1,Eb Minor,6,150.0,78.0,55.0,30.0,24.0,0.0,12.0,8.0,0,0,0,0,1.0,243.0,340.0,36.0,36.0,1.0,2.0,135.0,,135.0,1,0,1.0,5.0,0.28075333757151938970
